Dates,SPX Index,QQQ US Equity,IWM US Equity,HYG US Equity,LQD US Equity,AGG US Equity,TLT US Equity,IEF US Equity,SHY US Equity,TIP US Equity,GLD US Equity,SLV US Equity,USO US Equity,VNQ US Equity,IYR US Equity
10/21/2010,1180.26,48.124,63.7846,61.5044,89.1591,93.2363,84.1304,87.452,81.8527,99.6928,129.47,22.59,34.85,44.0966,44.4478
10/22/2010,1183.08,48.4524,64.1954,61.7851,89.2705,93.2793,84.6985,87.4785,81.8334,99.7196,129.73,22.76,35.49,44.1204,44.4557
10/25/2010,1185.62,48.687,64.5788,62.0246,89.5888,93.2879,84.9408,87.452,81.8527,100.0228,130.85,23.1,35.57,44.1998,44.543
10/26/2010,1185.64,48.8183,64.5332,62.1205,89.1113,93.0729,83.6291,86.8689,81.7752,99.4788,130.88,23.28,35.68,43.8822,44.2812
10/27/2010,1182.45,48.9684,64.3689,62.052,88.8805,92.8924,82.8939,86.3653,81.7365,98.8634,129.52,23.068,35.42,43.5726,43.8369
10/28/2010,1183.78,49.0717,63.9763,62.0863,89.2386,93.1245,83.1195,86.8689,81.843,99.2201,131.24,23.43,35.39,43.3026,43.5672
10/29/2010,1183.26,48.9591,64.1772,62.1136,89.4137,93.3222,83.8965,87.2576,81.8624,99.5501,132.62,24.17,35.17,43.3106,43.599
11/1/2010,1184.38,48.9966,63.739,61.9974,89.3832,93.2839,83.5356,87.1112,81.8981,99.7064,131.92,24.07,35.81,43.6837,43.9163
11/2/2010,1193.57,49.522,65.0627,62.3006,89.7987,93.4477,84.6335,87.4034,81.8496,99.9477,132.49,24.31,36.27,43.9854,44.1622
11/3/2010,1197.96,49.7472,65.3183,62.5074,89.5031,93.4305,82.907,87.6868,81.8787,99.769,131.57,24.249,36.74,43.9854,44.1146
11/4/2010,1221.06,50.3571,66.9707,63.3205,90.3499,93.8787,83.5524,88.3952,81.8981,100.0103,136.03,25.63,37.49,45.0017,45.2569
11/5/2010,1225.85,50.3571,67.3449,63.2516,90.0623,93.6201,82.1192,88.0233,81.8302,99.6706,136.38,26.2,37.65,45.486,45.7091
11/8/2010,1223.25,50.4204,67.2925,63.0655,90.1102,93.577,82.4879,88.0498,81.7914,99.8047,137.78,27.15,37.53,45.2399,45.487
11/9/2010,1213.4,50.1507,66.3955,62.8864,89.4392,93.1202,80.6692,87.306,81.6848,98.9019,135.59,26.18,37.05,43.4058,43.8449
11/10/2010,1218.71,50.3993,67.135,62.3695,89.2474,93.0426,80.7782,87.6336,81.7332,99.1432,137.24,26.72,38.04,43.9457,44.3684
11/11/2010,1213.54,50.0897,66.8702,62.1215,88.856,93.034,80.7363,87.5362,81.6072,99.1522,137.66,27.11,37.84,43.5964,44.0115
11/12/2010,1199.21,49.2687,65.7565,61.8941,88.2329,92.6634,80.3004,86.8101,81.6072,98.3423,133.69,25.518,36.47,43.1915,43.599
11/15/2010,1197.75,49.0857,65.7656,61.7769,87.2663,92.1548,78.6242,85.6943,81.5587,97.1051,132.42,24.93,36.5,42.7786,43.123
11/16/2010,1178.34,48.2741,64.4876,61.0947,87.7296,92.3789,80.5754,86.3319,81.5975,97.2839,130.968,24.93,35.45,41.3098,41.7665
11/17/2010,1178.59,48.4149,64.661,61.4048,87.7296,92.4048,80.1328,86.0839,81.646,97.3018,130.38,25,34.73,41.6274,42.1314
11/18/2010,1196.69,49.1936,65.9208,62.1835,87.7935,92.3789,80.4597,85.8803,81.6557,97.4627,132.088,26.35,35.5,42.0005,42.4249
11/19/2010,1199.73,49.2312,66.1399,62.1628,88.0971,92.4824,80.9542,86.0574,81.6072,97.7398,132.2,26.74,35.22,42.2228,42.6232
11/22/2010,1197.84,49.644,66.4613,61.7287,88.5844,92.7065,81.2978,86.5179,81.6848,98.0795,133.48,27.17,35.05,42.334,42.7105
11/23/2010,1180.73,48.8558,65.8272,60.8811,88.6323,92.8013,81.7001,86.695,81.7332,98.1152,134.41,26.865,34.95,42.0005,42.409
11/24/2010,1198.35,49.841,67.3084,61.2463,87.9054,92.3531,80.2418,85.7651,81.5926,97.5968,134.18,26.94,36.08,42.8104,43.2261
11/26/2010,1189.4,49.6984,66.8428,61.0258,88.0172,92.5427,81.3565,86.1371,81.646,97.8828,133.11,26.13,35.97,42.723,43.0992
11/29/2010,1187.76,49.4751,66.9433,61.1843,88.1051,92.603,82.0521,86.323,81.6363,97.9901,133.508,26.55,36.78,42.6992,43.0754
11/30/2010,1180.55,48.8699,66.4138,61.3221,87.9693,92.5427,82.4796,86.4736,81.6945,97.8649,135.42,27.44,36.04,42.5087,42.9068
